-------------------------------------------------------------------------------------
| pred                                                                  | frequency |
| <http://dbpedia.org/property/partner>                                 | 8         |
| <http://dbpedia.org/property/pushpinMap>                              | 8         |
| <http://dbpedia.org/property/serviceyears>                            | 8         |
| <http://graves.cl:5002/links.htm>                                     | 8         |
| <http://dbpedia.org/ontology/architect>                               | 7         |
| <http://dbpedia.org/ontology/artist>                                  | 7         |
| <http://dbpedia.org/ontology/battle>                                  | 7         |
| <http://dbpedia.org/ontology/instrument>                              | 7         |
| <http://dbpedia.org/ontology/restingPlace>                            | 7         |
| <http://dbpedia.org/ontology/serviceEndYear>                          | 7         |
| <http://dbpedia.org/ontology/serviceStartYear>                        | 7         |
| <http://dbpedia.org/ontology/starring>                                | 7         |
| <http://dbpedia.org/ontology/successor>                               | 7         |
| <http://dbpedia.org/ontology/writer>                                  | 7         |
| <http://dbpedia.org/property/auto>                                    | 7         |
| <http://dbpedia.org/property/border>                                  | 7         |
| <http://dbpedia.org/property/branch>                                  | 7         |
| <http://dbpedia.org/property/budget>                                  | 7         |
| <http://dbpedia.org/property/built>                                   | 7         |
| <http://dbpedia.org/property/class>                                   | 7         |
| <http://dbpedia.org/property/clubnumber>                              | 7         |
| <http://dbpedia.org/property/coordinatesDisplay>                      | 7         |
| <http://dbpedia.org/property/coordinatesRegion>                       | 7         |
| <http://dbpedia.org/property/cover>                                   | 7         |
| <http://dbpedia.org/property/director>                                | 7         |
| <http://dbpedia.org/property/ethnicity>                               | 7         |
| <http://dbpedia.org/property/father>                                  | 7         |
| <http://dbpedia.org/property/governingBody>                           | 7         |
| <http://dbpedia.org/property/honorificPrefix>                         | 7         |
| <http://dbpedia.org/property/lats>                                    | 7         |
| <http://dbpedia.org/property/locmapin>                                | 7         |
| <http://dbpedia.org/property/longs>                                   | 7         |
| <http://dbpedia.org/property/music>                                   | 7         |
| <http://dbpedia.org/property/nationalyears>                           | 7         |
| <http://dbpedia.org/property/parents>                                 | 7         |
| <http://dbpedia.org/property/recorded>                                | 7         |
| <http://dbpedia.org/property/style>                                   | 7         |
| <http://dbpedia.org/property/subdivisionType>                         | 7         |
| <http://dbpedia.org/ontology/Person/weight>                           | 6         |
| <http://dbpedia.org/ontology/activeYearsStartDate>                    | 6         |
| <http://dbpedia.org/ontology/associatedBand>                          | 6         |
| <http://dbpedia.org/ontology/associatedMusicalArtist>                 | 6         |
| <http://dbpedia.org/ontology/elevation>                               | 6         |
| <http://dbpedia.org/ontology/field>                                   | 6         |
| <http://dbpedia.org/ontology/foundingYear>                            | 6         |
| <http://dbpedia.org/ontology/isPartOf>                                | 6         |
| <http://dbpedia.org/ontology/militaryBranch>                          | 6         |
| <http://dbpedia.org/ontology/partner>                                 | 6         |
| <http://dbpedia.org/ontology/previousWork>                            | 6         |
| <http://dbpedia.org/ontology/status>                                  | 6         |
| <http://dbpedia.org/ontology/subsequentWork>                          | 6         |
| <http://dbpedia.org/ontology/weight>                                  | 6         |
| <http://dbpedia.org/property/added>                                   | 6         |
| <http://dbpedia.org/property/address>                                 | 6         |
| <http://dbpedia.org/property/associatedActs>                          | 6         |
| <http://dbpedia.org/property/district>                                | 6         |
| <http://dbpedia.org/property/elevationM>                              | 6         |
| <http://dbpedia.org/property/field>                                   | 6         |
| <http://dbpedia.org/property/formerNames>                             | 6         |
| <http://dbpedia.org/property/headquarters>                            | 6         |
| <http://dbpedia.org/property/image>                                   | 6         |
| <http://dbpedia.org/property/instrument>                              | 6         |
| <http://dbpedia.org/property/leaderName>                              | 6         |
| <http://dbpedia.org/property/locationCountry>                         | 6         |
| <http://dbpedia.org/property/mother>                                  | 6         |
| <http://dbpedia.org/property/motto>                                   | 6         |
| <http://dbpedia.org/property/nationalcaps>                            | 6         |
| <http://dbpedia.org/property/nationalgoals>                           | 6         |
| <http://dbpedia.org/property/nationalteam>                            | 6         |
| <http://dbpedia.org/property/nativeName>                              | 6         |
| <http://dbpedia.org/property/opened>                                  | 6         |
| <http://dbpedia.org/property/operator>                                | 6         |
| <http://dbpedia.org/property/order>                                   | 6         |
| <http://dbpedia.org/property/otherNames>                              | 6         |
| <http://dbpedia.org/property/pcupdate>                                | 6         |
| <http://dbpedia.org/property/popMunicipality>                         | 6         |
| <http://dbpedia.org/property/pos>                                     | 6         |
| <http://dbpedia.org/property/president>                               | 6         |
| <http://dbpedia.org/property/profession>                              | 6         |
| <http://dbpedia.org/property/refnum>                                  | 6         |
| <http://dbpedia.org/property/rows>                                    | 6         |
| <http://dbpedia.org/property/settlementType>                          | 6         |
| <http://dbpedia.org/property/signature>                               | 6         |
| <http://dbpedia.org/property/starring>                                | 6         |
| <http://dbpedia.org/property/subdivisionName>                         | 6         |
| <http://dbpedia.org/property/yearsactive>                             | 6         |
| <http://www.w3.org/2004/02/skos/core#subject>                         | 6         |
| <http://dbpedia.org/ontology/careerStation>                           | 5         |
| <http://dbpedia.org/ontology/director>                                | 5         |
| <http://dbpedia.org/ontology/education>                               | 5         |
| <http://dbpedia.org/ontology/ethnicity>                               | 5         |
| <http://dbpedia.org/ontology/formerName>                              | 5         |
| <http://dbpedia.org/ontology/militaryUnit>                            | 5         |
| <http://dbpedia.org/ontology/office>                                  | 5         |
| <http://dbpedia.org/ontology/openingYear>                             | 5         |
| <http://dbpedia.org/ontology/orderInOffice>                           | 5         |
| <http://dbpedia.org/ontology/parent>                                  | 5         |
| <http://dbpedia.org/ontology/relative>                                | 5         |
| <http://dbpedia.org/ontology/state>                                   | 5         |
| <http://dbpedia.org/property/architecture>                            | 5         |
| <http://dbpedia.org/property/areaTotalKm>                             | 5         |
| <http://dbpedia.org/property/buildingType>                            | 5         |
| <http://dbpedia.org/property/capacity>                                | 5         |
| <http://dbpedia.org/property/cinematography>                          | 5         |
| <http://dbpedia.org/property/club>                                    | 5         |
| <http://dbpedia.org/property/coach>                                   | 5         |
| <http://dbpedia.org/property/direction>                               | 5         |
| <http://dbpedia.org/property/distributor>                             | 5         |
| <http://dbpedia.org/property/editing>                                 | 5         |
| <http://dbpedia.org/property/homeTown>                                | 5         |
| <http://dbpedia.org/property/imageSkyline>                            | 5         |
| <http://dbpedia.org/property/latDegrees>                              | 5         |
| <http://dbpedia.org/property/latDirection>                            | 5         |
| <http://dbpedia.org/property/latMinutes>                              | 5         |
| <http://dbpedia.org/property/latSeconds>                              | 5         |
| <http://dbpedia.org/property/latitude>                                | 5         |
| <http://dbpedia.org/property/leaderTitle>                             | 5         |
| <http://dbpedia.org/property/longDegrees>                             | 5         |
| <http://dbpedia.org/property/longDirection>                           | 5         |
| <http://dbpedia.org/property/longMinutes>                             | 5         |
| <http://dbpedia.org/property/longSeconds>                             | 5         |
| <http://dbpedia.org/property/longitude>                               | 5         |
| <http://dbpedia.org/property/manager>                                 | 5         |
| <http://dbpedia.org/property/mapCaption>                              | 5         |
| <http://dbpedia.org/property/note>                                    | 5         |
| <http://dbpedia.org/property/relations>                               | 5         |
| <http://dbpedia.org/property/relatives>                               | 5         |
| <http://dbpedia.org/property/restingPlace>                            | 5         |
| <http://dbpedia.org/property/rev>                                     | 5         |
| <http://dbpedia.org/property/runtime>                                 | 5         |
| <http://dbpedia.org/property/s>                                       | 5         |
| <http://dbpedia.org/property/students>                                | 5         |
| <http://dbpedia.org/property/subject>                                 | 5         |
| <http://dbpedia.org/property/thisAlbum>                               | 5         |
| <http://dbpedia.org/property/unit>                                    | 5         |
| <http://dbpedia.org/property/v>                                       | 5         |
| <http://dbpedia.org/property/youthclubs>                              | 5         |
| <http://umbel.org/umbel#isLike>                                       | 5         |
