--------------------------------------------------------------------------------
| pred                                                             | frequency |
| <http://dbpedia.org/property/nativeNameLang>                     | 1         |
| <http://dbpedia.org/property/network>                            | 1         |
| <http://dbpedia.org/property/nextAlbum>                          | 1         |
| <http://dbpedia.org/property/nickname>                           | 1         |
| <http://dbpedia.org/property/nndb>                               | 1         |
| <http://dbpedia.org/property/nominator>                          | 1         |
| <http://dbpedia.org/property/noprose>                            | 1         |
| <http://dbpedia.org/property/notableInstruments>                 | 1         |
| <http://dbpedia.org/property/notableWork>                        | 1         |
| <http://dbpedia.org/property/notableWorks>                       | 1         |
| <http://dbpedia.org/property/note>                               | 1         |
| <http://dbpedia.org/property/ntupdate>                           | 1         |
| <http://dbpedia.org/property/numEmployees>                       | 1         |
| <http://dbpedia.org/property/number>                             | 1         |
| <http://dbpedia.org/property/nyt>                                | 1         |
| <http://dbpedia.org/property/oclc>                               | 1         |
| <http://dbpedia.org/property/ontheissues>                        | 1         |
| <http://dbpedia.org/property/open>                               | 1         |
| <http://dbpedia.org/property/opencong>                           | 1         |
| <http://dbpedia.org/property/opensecrets>                        | 1         |
| <http://dbpedia.org/property/order>                              | 1         |
| <http://dbpedia.org/property/otherDevice>                        | 1         |
| <http://dbpedia.org/property/otherNames>                         | 1         |
| <http://dbpedia.org/property/othername>                          | 1         |
| <http://dbpedia.org/property/othernames>                         | 1         |
| <http://dbpedia.org/property/owner>                              | 1         |
| <http://dbpedia.org/property/p>                                  | 1         |
| <http://dbpedia.org/property/parents>                            | 1         |
| <http://dbpedia.org/property/partner>                            | 1         |
| <http://dbpedia.org/property/percentage>                         | 1         |
| <http://dbpedia.org/property/pga>                                | 1         |
