--------------------------------------------------------------------
| pred                                                 | frequency |
| <http://lsq.aksw.org/res/q-4835272c-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-4835272c-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-4a622b11-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-4a622b11-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-4b78323f-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-4b78323f-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-4bd84be9-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-4da2f847-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-4db22b58-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-4f1b6293-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-4f1b6293-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-52108dc6-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-54436ca5-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-54436ca5-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-618094c3-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-65ba024e-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-66eac7c9-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-66eac7c9-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-6a7037ea-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-6a7037ea-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-6c5e096e-var-o>           | 1         |
| <http://lsq.aksw.org/res/q-6ef0ae9b-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-72717364-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-7332b675-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-7332b675-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-73eadedd-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-73eadedd-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-74df1093-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-74df1093-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-777c77fa-var-property>    | 1         |
| <http://lsq.aksw.org/res/q-7a0c2a66-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-7a0c2a66-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-7c115cd9-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-7df9284d-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-7df9284d-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-7f45ffcd-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-7f45ffcd-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-803c7b31-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-803c7b31-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-87534a80-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-87534a80-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-87ef21d9-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-87ef21d9-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-8a007712-var-o>           | 1         |
| <http://lsq.aksw.org/res/q-8a099832-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-8a099832-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-8b47291c-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-8b47291c-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-8f24ed19-var-p>           | 1         |
