---------------------------------------------------------------------------------------------------
| pred                                                                                | predCount |
| <http://dbpedia.org/property/imageBlankEmblem>                                      | 2         |
| <http://dbpedia.org/property/incumbent>                                             | 2         |
| <http://dbpedia.org/property/keyPerson>                                             | 2         |
| <http://dbpedia.org/property/latDeg>                                                | 2         |
| <http://dbpedia.org/property/latMin>                                                | 2         |
| <http://dbpedia.org/property/leagueChamps>                                          | 2         |
| <http://dbpedia.org/property/lonDeg>                                                | 2         |
| <http://dbpedia.org/property/lonMin>                                                | 2         |
| <http://dbpedia.org/property/namedFor>                                              | 2         |
| <http://dbpedia.org/property/released>                                              | 2         |
| <http://dbpedia.org/property/starringspouse>                                        | 2         |
| <http://dbpedia.org/resource/influencedBy>                                          | 2         |
| <http://fr.dbpedia.org/property/nom>                                                | 2         |
| <http://learningsparql.com/ns/addressbook#nick>                                     | 2         |
| <http://lsq.aksw.org/res/q-006769b3-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-00c6babf-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-010ba9e7-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-014807a8-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-015f249c-var-property>                                   | 2         |
| <http://lsq.aksw.org/res/q-027db2a2-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-02d83f79-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0344e169-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-04c367ef-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-04f5fd34-var-link>                                       | 2         |
| <http://lsq.aksw.org/res/q-059b1481-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-05a71cff-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-05ccaffa-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-06314157-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-069d6432-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-06baacb5-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-06da7b02-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-06ea4deb-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-074fab0e-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0781479c-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0787f44e-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-07bea9ca-var-property>                                   | 2         |
| <http://lsq.aksw.org/res/q-07e2c04e-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-085d0999-var-property>                                   | 2         |
| <http://lsq.aksw.org/res/q-08fb70cb-var-property>                                   | 2         |
| <http://lsq.aksw.org/res/q-09edfc20-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0a21c02d-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0adea50f-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0bce4916-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0c6aae4f-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0d78b5fc-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0de3a824-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0fa9a643-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-0fdca291-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-10040d83-var-property>                                   | 2         |
| <http://lsq.aksw.org/res/q-104d40f4-var-property>                                   | 2         |
| <http://lsq.aksw.org/res/q-12876b19-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-130e88a6-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-13330c5f-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-13ddd484-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-14af935f-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-14db4362-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-156af8a5-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-15ce7639-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-15fbc7ce-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-160ed863-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-168f7f44-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-183465ad-var-property>                                   | 2         |
| <http://lsq.aksw.org/res/q-18a02207-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-18c6719c-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-18d3d897-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-192dd47e-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-19899b67-var-property>                                   | 2         |
| <http://lsq.aksw.org/res/q-1a32daba-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1a932559-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1b6adb90-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1b8e01a9-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1bf24bbc-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1c193312-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1c1db4a1-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1d2c7804-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1d2ec55e-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1d808c27-var-property>                                   | 2         |
| <http://lsq.aksw.org/res/q-1d937adc-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1dafe1b3-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1e45d52a-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1f0ccd47-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1f27b5f5-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-1f96847f-var-p0>                                         | 2         |
| <http://lsq.aksw.org/res/q-1f96847f-var-p1>                                         | 2         |
| <http://lsq.aksw.org/res/q-201b297a-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-201eb6bb-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-20361dd8-var-p>                                          | 2         |
| <http://lsq.aksw.org/res/q-206cd36a-var-p>                                          | 2         |
